gene	KO_rep2	KO_rep3	KO_rep1	CTL_rep2	CTL_rep3	CTL_rep1
ENSG00000290825.1	2	1	2	0	0	0
ENSG00000223972.6	0	0	0	0	0	0
ENSG00000227232.6	322	441	263	227	417	252
ENSG00000278267.1	3	0	1	2	3	4
ENSG00000243485.5	6	6	9	4	3	4
ENSG00000284332.1	0	0	0	0	0	0
ENSG00000237613.2	0	0	0	0	0	0
ENSG00000268020.3	0	0	0	0	0	0
ENSG00000290826.1	0	0	0	0	0	0
ENSG00000240361.3	0	0	0	0	0	0
ENSG00000186092.7	0	0	0	0	0	0
ENSG00000238009.7	0	2	1	0	1	1
ENSG00000239945.1	0	0	0	0	0	0
ENSG00000233750.3	13	5	12	5	12	6
ENSG00000268903.1	50	42	41	34	42	50
ENSG00000269981.1	40	56	32	26	45	40
ENSG00000239906.1	7	0	9	6	9	3
ENSG00000241860.7	10	7	12	12	13	18
ENSG00000222623.1	0	0	0	0	0	0
ENSG00000241599.1	0	0	0	0	0	0
ENSG00000279928.2	0	0	0	0	0	1
ENSG00000279457.4	495	612	349	289	554	328
ENSG00000273874.1	0	1	2	2	0	0
ENSG00000292994.1	52	34	43	59	60	39
ENSG00000228463.11	0	0	0	0	0	0
ENSG00000286448.1	0	0	0	0	0	0
ENSG00000236679.2	3	7	5	5	1	3
ENSG00000236601.2	0	0	0	0	0	0
ENSG00000290385.1	64	30	65	45	45	41
ENSG00000269732.1	0	0	0	0	0	0
ENSG00000284733.2	0	0	0	0	1	0
ENSG00000237094.13	0	0	0	0	0	0
ENSG00000233653.3	2	0	0	1	2	0
ENSG00000250575.1	2	5	2	3	3	2
ENSG00000278757.1	0	0	0	0	0	0
ENSG00000293331.1	40	23	47	31	69	40
ENSG00000235146.2	0	0	0	0	0	0
ENSG00000225972.1	7574	9162	7713	4756	7465	6423
ENSG00000225630.1	4434	4932	4592	3393	4687	3854
ENSG00000237973.1	1613	1778	1603	1164	1751	1233
ENSG00000278791.1	0	0	0	0	0	0
ENSG00000229344.1	81	125	88	50	78	73
ENSG00000240409.1	1	11	6	3	6	3
ENSG00000248527.1	25092	28525	24218	18889	26736	23235
ENSG00000198744.5	93	130	140	80	105	84
ENSG00000268663.1	0	0	0	0	0	0
ENSG00000284662.2	0	0	0	0	1	0
ENSG00000230021.11	0	0	0	0	0	0
ENSG00000229376.3	0	1	6	5	0	0
ENSG00000291215.1	236	143	250	165	228	202
ENSG00000223181.1	0	0	0	0	0	0
ENSG00000229905.1	0	0	0	0	0	0
ENSG00000228327.6	0	0	0	0	0	0
ENSG00000237491.10	41	29	40	22	38	31
ENSG00000285268.1	0	0	0	0	0	0
ENSG00000290784.1	4	4	6	2	4	4
ENSG00000230092.8	0	0	0	0	0	0
ENSG00000177757.2	4	5	2	1	10	2
ENSG00000225880.6	87	83	39	46	77	84
ENSG00000228794.12	4713	4508	4808	3563	5399	4056
ENSG00000288531.1	3	5	5	1	0	4
ENSG00000230368.2	5	1	1	1	2	1
ENSG00000234711.1	1	0	0	0	0	1
ENSG00000283040.1	1	0	1	0	1	0
ENSG00000272438.1	59	49	42	41	42	33
ENSG00000230699.2	238	246	177	187	216	185
ENSG00000241180.1	0	3	0	2	3	0
ENSG00000223764.2	221	248	159	181	259	146
ENSG00000187634.13	89	276	101	171	231	160
ENSG00000188976.11	21873	25919	22217	20411	27180	21205
ENSG00000187961.15	810	656	703	495	736	671
ENSG00000187583.11	272	236	289	194	273	218
ENSG00000187642.10	1	0	2	5	0	3
ENSG00000272512.1	82	44	45	38	39	33
ENSG00000188290.11	865	1414	734	871	1109	897
ENSG00000187608.10	1006	1164	974	1170	1680	1209
ENSG00000231702.2	0	0	1	0	2	1
ENSG00000224969.1	13	15	18	4	11	8
ENSG00000188157.15	113930	132320	116416	96638	130259	98636
ENSG00000242590.1	0	0	0	0	0	0
ENSG00000291156.1	125	112	135	107	120	135
ENSG00000273443.1	2	4	6	7	1	4
ENSG00000217801.13	12	13	15	7	8	21
ENSG00000237330.3	84	78	56	61	65	79
ENSG00000131591.18	1808	2489	1796	1639	2233	1684
ENSG00000285812.1	35	20	21	12	17	25
ENSG00000223823.1	0	0	0	1	0	1
ENSG00000207730.3	0	0	0	2	0	0
ENSG00000207607.3	0	0	0	0	3	0
ENSG00000198976.1	1	1	0	0	0	7
ENSG00000272141.1	12	11	7	8	19	17
ENSG00000205231.1	20	20	2	28	25	27
ENSG00000162571.14	19	13	22	25	47	33
ENSG00000186891.14	2	4	1	11	6	7
ENSG00000186827.12	4	4	3	4	9	3
ENSG00000078808.20	22652	24457	21069	17801	24718	19044
ENSG00000176022.7	5577	6612	5617	4966	6521	5220
ENSG00000184163.3	49	83	45	46	54	58
ENSG00000260179.1	7	17	12	4	13	17
ENSG00000160087.21	7085	7754	6740	5698	7926	6054
ENSG00000230415.1	12	7	5	10	16	14
ENSG00000162572.21	87	115	71	72	141	105
ENSG00000131584.19	5071	4988	4591	4429	5754	4633
ENSG00000278073.1	0	0	0	0	0	0
ENSG00000169972.13	1451	1867	1414	1447	1833	1280
ENSG00000127054.22	9758	10994	9036	8629	11772	9114
ENSG00000283712.1	0	0	0	0	0	0
ENSG00000240731.1	126	82	121	82	79	110
ENSG00000224051.7	2196	2956	2360	2298	2911	2051
ENSG00000169962.5	41	37	28	48	49	21
ENSG00000107404.21	6725	7343	6031	5996	7683	6057
ENSG00000284372.1	0	0	0	0	0	0
ENSG00000162576.17	2396	4081	2255	3875	4880	3821
ENSG00000175756.14	7749	10491	7689	7474	10138	7530
ENSG00000223663.2	1	0	15	0	0	1
ENSG00000221978.13	6628	5160	5541	4105	6129	5216
ENSG00000224870.9	2780	2723	2519	2118	3171	2475
ENSG00000242485.6	8228	9364	8285	6700	9871	7428
ENSG00000264293.2	0	0	0	0	0	0
ENSG00000272455.1	371	287	325	250	369	270
ENSG00000235098.9	899	1235	887	870	1344	1000
ENSG00000225905.1	8	11	9	6	13	12
ENSG00000205116.4	227	267	289	216	370	282
ENSG00000225285.1	82	93	68	58	76	70
ENSG00000179403.12	9519	11133	9673	7468	10026	7634
ENSG00000215915.10	217	122	153	83	178	125
ENSG00000160072.20	3190	3476	3147	3014	3902	2881
ENSG00000290916.1	2	4	0	0	2	0
ENSG00000284740.3	0	0	0	0	0	0
ENSG00000197785.14	5585	7542	5802	5508	7579	5738
ENSG00000205090.10	161	280	133	182	264	187
ENSG00000160075.12	15688	17453	16212	13181	18806	14325
ENSG00000215014.5	61	98	107	68	123	82
ENSG00000274481.1	0	0	0	0	0	0
ENSG00000228594.4	918	1321	927	1046	1516	1077
ENSG00000286989.1	9	15	17	7	7	15
ENSG00000272106.1	325	384	315	260	335	268
ENSG00000197530.13	2804	3438	2712	2307	3195	2476
ENSG00000189409.14	1	5	5	0	4	2
ENSG00000248333.9	5241	5613	5130	4618	6537	5367
ENSG00000272004.1	1	5	1	0	0	0
ENSG00000189339.12	13499	11892	12165	10280	14467	11376
ENSG00000293187.1	150	77	115	82	111	106
ENSG00000269737.3	54	16	23	29	30	50
ENSG00000215914.4	0	0	12	2	9	3
ENSG00000008128.23	181	120	127	82	184	125
ENSG00000268575.1	164	171	157	118	213	204
ENSG00000293188.1	325	246	283	210	369	316
ENSG00000290854.1	233	219	201	211	289	201
ENSG00000215790.9	0	0	0	0	0	0
ENSG00000227775.4	0	0	0	0	0	0
ENSG00000008130.15	9220	8858	7888	7373	10008	8273
ENSG00000078369.19	83238	86304	81754	68424	96805	81394
ENSG00000231050.3	13	20	15	9	25	10
ENSG00000169885.10	20	8	10	2	8	1
ENSG00000178821.13	345	500	337	323	464	364
ENSG00000142609.20	31	59	43	45	69	50
ENSG00000233542.2	0	0	0	0	0	0
ENSG00000187730.9	5	3	0	1	0	2
ENSG00000226969.1	1	3	1	3	2	1
ENSG00000067606.17	5191	5634	5465	4579	6352	4976
ENSG00000271806.1	3	6	0	10	2	0
ENSG00000182873.5	396	386	334	277	444	353
ENSG00000162585.17	4221	6010	4219	4335	5761	4270
ENSG00000234396.3	0	0	0	0	0	0
ENSG00000157933.11	10826	11993	10442	9125	13020	10556
ENSG00000287356.1	173	150	99	104	189	97
ENSG00000116151.14	701	588	792	535	775	689
ENSG00000272161.1	2	1	0	0	0	0
ENSG00000292993.1	274	271	208	223	347	266
ENSG00000269896.3	0	0	0	0	0	0
ENSG00000272420.1	5	15	4	13	4	6
ENSG00000157916.20	11891	11391	11562	9072	12273	10375
